item	itemLabel	birth_name	family_name	family_nameLabel	given_name	given_nameLabel
http://www.wikidata.org/entity/Q19397	Alun Michael				http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q111840	Carwyn Jones	Carwyn Howell Jones	http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q3661011	Carwyn
http://www.wikidata.org/entity/Q117720	Gwenda Thomas		http://www.wikidata.org/entity/Q1413324	Thomas		
http://www.wikidata.org/entity/Q117720	Gwenda Thomas		http://www.wikidata.org/entity/Q1413324	Thomas		
http://www.wikidata.org/entity/Q268030	Alun Cairns		http://www.wikidata.org/entity/Q21492781	Cairns	http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q268030	Alun Cairns		http://www.wikidata.org/entity/Q21492781	Cairns	http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q296797	David Davies	David Thomas Charles Davies	http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q296920	Glyn Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q19845740	Glyn
http://www.wikidata.org/entity/Q296920	Glyn Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q19845740	Glyn
http://www.wikidata.org/entity/Q333141	Rhodri Morgan		http://www.wikidata.org/entity/Q1260128	Morgan	http://www.wikidata.org/entity/Q20824652	Rhodri
http://www.wikidata.org/entity/Q333141	Rhodri Morgan		http://www.wikidata.org/entity/Q1260128	Morgan	http://www.wikidata.org/entity/Q20824652	Rhodri
http://www.wikidata.org/entity/Q333600	Dafydd Wigley		http://www.wikidata.org/entity/Q37477368	Wigley	http://www.wikidata.org/entity/Q19844617	Dafydd
http://www.wikidata.org/entity/Q333841	Dafydd Elis-Thomas				http://www.wikidata.org/entity/Q19844617	Dafydd
http://www.wikidata.org/entity/Q333869	Ron Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q2165388	Ron
http://www.wikidata.org/entity/Q333869	Ron Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q2165388	Ron
http://www.wikidata.org/entity/Q336526	Mike German, Baron German				http://www.wikidata.org/entity/Q361309	Mike
http://www.wikidata.org/entity/Q544524	Brynle Williams		http://www.wikidata.org/entity/Q1688722	Williams		
http://www.wikidata.org/entity/Q728167	David Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q1687064	Jenny Randerson				http://www.wikidata.org/entity/Q3807899	Jenny
http://www.wikidata.org/entity/Q1687064	Jenny Randerson				http://www.wikidata.org/entity/Q3807899	Jenny
http://www.wikidata.org/entity/Q3396810	Ieuan Wyn Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q2449962	Ieuan
http://www.wikidata.org/entity/Q3396810	Ieuan Wyn Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q2449962	Ieuan
http://www.wikidata.org/entity/Q3405113	Cynog Dafis				http://www.wikidata.org/entity/Q5199959	Cynog
http://www.wikidata.org/entity/Q3405595	Alun Ffred Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q4727085	Alison Halford				http://www.wikidata.org/entity/Q16154105	Alison
http://www.wikidata.org/entity/Q4737506	Alun Pugh				http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q4737506	Alun Pugh				http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q4756771	Andrew Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q18042461	Andrew
http://www.wikidata.org/entity/Q4766480	Ann Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q558067	Ann
http://www.wikidata.org/entity/Q4963833	Brian Gibbons		http://www.wikidata.org/entity/Q1522852	Gibbons	http://www.wikidata.org/entity/Q15930574	Brian
http://www.wikidata.org/entity/Q4963833	Brian Gibbons		http://www.wikidata.org/entity/Q1522852	Gibbons	http://www.wikidata.org/entity/Q15930574	Brian
http://www.wikidata.org/entity/Q4963931	Brian Hancock				http://www.wikidata.org/entity/Q15930574	Brian
http://www.wikidata.org/entity/Q5052945	Catherine Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q2218095	Catherine
http://www.wikidata.org/entity/Q5110965	Christine Chapman		http://www.wikidata.org/entity/Q1158558	Chapman	http://www.wikidata.org/entity/Q2087646	Christine
http://www.wikidata.org/entity/Q5110965	Christine Chapman		http://www.wikidata.org/entity/Q1158558	Chapman	http://www.wikidata.org/entity/Q2087646	Christine
http://www.wikidata.org/entity/Q5111036	Christine Gwyther				http://www.wikidata.org/entity/Q2087646	Christine
http://www.wikidata.org/entity/Q5111036	Christine Gwyther				http://www.wikidata.org/entity/Q2087646	Christine
http://www.wikidata.org/entity/Q5111059	Christine Humphreys				http://www.wikidata.org/entity/Q2087646	Christine
http://www.wikidata.org/entity/Q5236695	David Lloyd	David Rees Lloyd	http://www.wikidata.org/entity/Q1287630	Lloyd	http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5236695	David Lloyd	David Rees Lloyd	http://www.wikidata.org/entity/Q1287630	Lloyd	http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5237493	David Melding				http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5237493	David Melding				http://www.wikidata.org/entity/Q18057751	David
http://www.wikidata.org/entity/Q5254977	Delyth Evans		http://www.wikidata.org/entity/Q1260663	Evans		
http://www.wikidata.org/entity/Q5346948	Edwina Hart		http://www.wikidata.org/entity/Q1587003	Hart	http://www.wikidata.org/entity/Q13424368	Edwina
http://www.wikidata.org/entity/Q5354231	Eleanor Burnham		http://www.wikidata.org/entity/Q16865194	Burnham	http://www.wikidata.org/entity/Q988818	Eleanor
http://www.wikidata.org/entity/Q5354231	Eleanor Burnham		http://www.wikidata.org/entity/Q16865194	Burnham	http://www.wikidata.org/entity/Q988818	Eleanor
http://www.wikidata.org/entity/Q5361084	Elin Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q19833184	Elin
http://www.wikidata.org/entity/Q5361084	Elin Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q19833184	Elin
http://www.wikidata.org/entity/Q5522883	Gareth Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q15628901	Gareth
